公网IP地址/公网URL地址/域名/邮箱地址,用途说明
http://www.apache.org/licenses/LICENSE-2.0,License
pmail_mindstudio@huawei.com,MindStudio官方邮箱
https://gitee.com/ascend/mstt/tree/master/plugins/tensorboard-plugins/tb_graph_ascend,代码仓地址
https://npms.io,npm包管理工具官网地址
http://codepen.io/shyndman/pen/,构建引入，注释
https://github.com/webcomponents/shadycss/issues/193,构建引入，注释
http://jsbin.com/temexa/4,构建引入，注释
https://fonts.googleapis.com/,构建引入，组件样式文件
https://developer.mozilla.org/,构建引入，注释
https://github.com/vaadin/vaadin-time-picker/issues/145,构建引入，注释
